Gene_name	FeAnBF	FeAnO	FeAnSF	FeAtO	FeAtSF	FeBrBF	FeBrO	FeBrSF	FeFLO	FeFLSF	FeHLBF	FeHLO	FeHLSF	FeMLO	FeMLSF	FeOsSF	FeOvO	FeOvSF	FePaSF	FeRsBF	FeRsSF	MaAn	MaAT	MaBr	MaFL	MaHL	MaML	MaRs
Ir41k	9.392988587	9.827682652	11.16744257	0.046162628	0.005865423	0.021314246	0.049344745	0.013436017	0.108373481	0.131233333	0.06780484	0.136173992	0.078242746	0.099400143	0.062068487	5.087400845	0.285563565	0.740811459	0.123404568	3.462954063	3.609874657	8.282141854	0.009151337	0.078291788	0.148354365	0.096979081	0.119171317	2.853157257
Ir41l	18.46178749	18.04308639	18.45635186	0	0	0	0.005115195	0.011606734	0	0.006478083	0.025102907	0.001833262	0.00225301	0.006061211	0	2.010298682	0	0.005774018	0.066167643	1.199956693	0.9068536	9.141926014	0	0	0	0.002645552	0.010294665	0.637845175
Ir41m	2.123456647	3.653266368	2.86741576	0.002587107	0	0.016126039	0	0	0	0	0	0	0	0.002949203	0	2.873670964	0	0	0.00858541	1.677994391	0.989004549	3.597236134	0	0	0	0.018021479	0	1.530035757
Ir41n	0.754343986	0.768877132	0.721639068	0	0	0.022236484	0.030887879	0.016353572	0.37585686	0.162989957	0.373904987	0.39483245	0.306105733	0.362953582	0.20235679	6.587741195	0.03861927	0.040677201	0.004439455	3.937546538	3.745080795	0.686705437	0	0.018151016	0.282234355	0.418013761	0.37298314	3.565386091
Ir41o	13.3139952	16.7582121	13.20092967	0	0	0	0	0.002339971	0.003060652	0	0	0.00739189	0.002271088	0.003054923	0	2.720993875	0.011051767	0.017461099	0.026679461	1.316315358	0.882609422	6.123489403	0	0	0.036475756	0.008000339	0	1.105733322
Ir41p	21.80996374	25.35030918	20.57557172	1.651594361	1.055776906	1.33213727	0.730300989	1.092792342	1.180392927	0.793649538	1.791982015	1.568653631	1.451837397	1.198648066	0.744823056	4.104980939	0.407192082	0.518012035	4.459592162	3.122496347	2.795383803	9.739165798	2.394594288	0.956897877	1.10829422	1.408746705	1.072541135	2.629763644
Ir60a	0	0.019704709	0.006214268	0	0	0	0.004595624	0.006256666	0.081836356	0.093121235	0.112765289	0.087293648	0.064773212	0.171534881	0.014451569	0.234691887	0	0	0	0.412204215	0.159202286	0	0.005681926	0	0.36573636	0.102203786	0.351461525	0.281053214
Ir64a	2.504037881	3.589598733	2.937955357	0.378452234	0.459585303	0.267907905	0.154656322	0.228101713	0.116664037	0.142816568	0.117009217	0.073904124	0.090825415	0.116445613	0.167178798	0.150235174	0.010358973	0.07637689	0.458462022	0.190548167	0.196971594	2.895893436	0.081664193	0.096562357	0.074076712	0.074988203	0.162112276	0.176574564
Ir68a	0.593347833	0.415959379	0.512887069	0.006823763	0.010404327	0.24102616	0.236330249	0.184707967	0.051956022	0.060968117	0.025773211	0.026664693	0.032769925	0.046672903	0.068812324	0.019434891	0.037521829	0.059282006	0.079256932	0.064705973	0.049050544	1.433978299	0.002705498	0.347192415	0.046439549	0.056587371	0.04403981	0.038235968
Ir75a	11.76881353	13.33437827	10.75930302	0.059051421	0.018416655	1.756750679	1.647485937	1.582021262	0.076639343	0.058865162	0.06082802	0.037018889	0.063692817	0.058136893	0.048721882	0.103204706	0.116230131	0.07578631	0.151427032	0.111990347	0.121027747	6.200220855	0.076623788	0.97419637	0.045668067	0.050750311	0.083151705	0.311743391
